codbottle;volume;weight;product;ALTEZZAMAX;DIAMETROMAX;DESCRIZIONECOLLO;GASATURAPROVV;TIPOFONDODESC;UNITAMISURA;bottletype;DESCPIANTA;DENOMPROVVBOTT;;FILLLEVEL;ALTEZZAPETALO;CODIMPUGNATURA;VOLUMERASOBOCCA;COD_TIPO_BOTTIGLIA;SPALLA;DISEGNOCOLLO
C005636_01;300;24,5;SUCCO;176,5;57;COLLO GENERICO SECONDO DIS. CLIENTE;0;NON STANDARD;ml;HEAT SET;TONDA;PETPACK s.a. - 300ml HOT FILL FUORI LINEA;;17,2;;;328,4;H;CONVESSA;DIS.CLIENTE
C005661_01;1500;39,5;ACQUA GASATA;332;95,5;COLLO PCO SECONDO DIS. CLIENTE;3,5;PETALOIDE;ml;NON DEFINITA;TONDA;KHAN TENGRI WATERS - 1500ml;;43;38;;1522,3;ND;CONVESSA;PCO-CLIENTE
C005675_00;500;23,8;SUCCO;222;64;COLLO PCO SECONDO DIS. CLIENTE;0;PIATTO;ml;NON DEFINITA;TONDA;NATE 6 NAPOJOVA TECNIKA - 500ml Libella;;38,2;;1;521,9;ND;CONVESSA;PCO-CLIENTE
C004220_07;330;17,7;BIBITA GASATA;181,8;58,5;COLLO PCO SECONDO DIS. CLIENTE;3,4;PETALOIDE;ml;NON DEFINITA;TONDA;SAN MIGUEL INDUSTRIAL - SMI Peru - MALTIN POWER 330ml;;29;20;1;343,2;ND;CONVESSA;PCO-CLIENTE
C004220_06;330;17,7;BIBITA GASATA;181,8;58,5;COLLO PCO SECONDO DIS. CLIENTE;3,4;PETALOIDE;ml;NON DEFINITA;TONDA;SAN MIGUEL INDUSTRIAL - SMI Peru - MALTIN POWER 330ml;;29,2;20;1;343,8;ND;CONVESSA;PCO-CLIENTE
C004220_05;330;17,7;BIBITA GASATA;181,8;58,5;COLLO PCO SECONDO DIS. CLIENTE;3,4;PETALOIDE;ml;NON DEFINITA;TONDA;SAN MIGUEL INDUSTRIAL - SMI Peru - MALTIN POWER 330ml;;29,2;20;1;343,8;ND;CONVESSA;PCO-CLIENTE
C300409_00;600;29,5;ISOTONICO;207,45;75;COLLO 38 mm SECONDO DIS. CLIENTE;0;NON STANDARD;ml;HEAT SET;TONDA;Zhuhai Zhongfu Enterprise Co. - Danone - 600 ml HF bottle;;17,83;;1;624;H;CONVESSA;38 mm CLIENTE
C300396_03;600;26,5;THE;226;71;"28mm PCO ""1881MODIF"" FOR HEATSET";0;NON STANDARD;ml;HEAT SET;TONDA;Ting Hsin HF 0,6 L New ice red bottle for ECS;;27;;1;632,6;H;CONVESSA;N000140_42
C300396_02;600;26,5;THE;226;71,5;"28mm PCO ""1881MODIF"" FOR HEATSET";0;NON STANDARD;ml;HEAT SET;TONDA;Ting Hsin HF 0,6 L New ice red bottle for ECS;;27;;1;629,2;H;CONVESSA;N000140_42
C300396_01;600;27,9;THE;226;71,5;"28mm PCO ""1881MODIF"" FOR HEATSET";0;NON STANDARD;ml;HEAT SET;TONDA;Ting Hsin HF 0,6 L New ice red bottle for ECS;;27;;1;630,8;H;CONVESSA;N000140_42
C005677_00;330;17;ACQUA PIATTA;175,5;61,2;COLLO PCO SECONDO DIS. CLIENTE;0;PIATTO;ml;NON DEFINITA;TONDA;Mundo Infinito - 330 ml;;36;;;347,5;ND;CONVESSA;PCO-CLIENTE
C005659_01;1800;46;SUCCO;330;98,6;COLLO PCO SECONDO DIS. CLIENTE;0;PIATTO;ml;NON DEFINITA;TONDA;NATE 6 NAPOJOVA TECNIKA - 1800ml Libella;;41,5;;1;1832,3;ND;CONVESSA;PCO-CLIENTE
C005673_00;600;18,3;BIBITA GASATA;233,85;69,5;28mm PCO LIGHT;4,2;PETALOIDE;ml;LOGOS END DIMPLE;TONDA;Coca Cola Latin Center Division - 600 ml OTG;;32,7;23;;620,1;LO;NON STANDARD;N000140_43
C005671_00;2000;46;SUCCO;330;105;COLLO PCO SECONDO DIS. CLIENTE;0;PIATTO;ml;NON DEFINITA;TONDA;NATE 6 NAPOJOVA TECNIKA - 2000ml Natura;;48,2;;1;2033,5;ND;CONCAVA;PCO-CLIENTE
C005659_00;1800;46,6;SUCCO;320;99,4;COLLO PCO SECONDO DIS. CLIENTE;0;PIATTO;ml;NON DEFINITA;TONDA;NATE 6 NAPOJOVA TECNIKA - 1800ml Libella;;41,5;;1;1831,6;ND;CONVESSA;PCO-CLIENTE
C005660_01;1500;28;ACQUA PIATTA;326,9;88;COLLO NOV-30/25 SECONDO DIS. CLIENTE;0;PIATTO;ml;NON DEFINITA;TONDA;GULFA MINERAL WATER - 1500 ml - Gulfa;;41,8;;;1536,6;ND;CONVESSA;NOV-30/25 CLI
C005662_01;500;12,8;ACQUA PIATTA;217,9;65;COLLO NOV-30/25 SECONDO DIS. CLIENTE;0;PIATTO;ml;NON DEFINITA;TONDA;GULFA MINERAL WATER - 500 ml - Gulfa;;41,9;;;531,6;ND;CONVESSA;NOV-30/25 CLI
C005663_02;330;12,8;ACQUA PIATTA;156,4;65;COLLO NOV-30/25 SECONDO DIS. CLIENTE;0;PIATTO;ml;NON DEFINITA;TONDA;GULFA MINERAL WATER - 330 ml - Gulfa;;41,9;;;362,2;ND;CONVESSA;NOV-30/25 CLI
C300373_01;5000;95;ACQUA PIATTA;339,1;158,2;COLLO 38 mm SECONDO DIS. CLIENTE;0;PIATTO;ml;NON DEFINITA;TONDA;Nong Fu New Spring Water- 5L Round Mineral Water;;34;37;;5026,1;ND;CONVESSA;38 mm CLIENTE
C300356_12;4010;75;ACQUA PIATTA;320,6;146,7;COLLO 38 mm SECONDO DIS. CLIENTE;0;PETALOIDE;ml;NON DEFINITA;TONDA;Nong Fu New Spring Water- 4L Round Mineral Water;;30;42,5;;4034,7;ND;CONVESSA;38 mm CLIENTE
C300356_11;4010;75;ACQUA PIATTA;317,1;146,7;COLLO 38 mm SECONDO DIS. CLIENTE;0;PIATTO;ml;NON DEFINITA;TONDA;Nong Fu New Spring Water- 4L Round Mineral Water;;30;39;;4036;ND;CONVESSA;38 mm CLIENTE
C300356_10;4010;75;ACQUA PIATTA;315,5;146,8;COLLO 38 mm SECONDO DIS. CLIENTE;0;PETALOIDE;ml;NON DEFINITA;TONDA;Nong Fu New Spring Water- 4L Round Mineral Water;;30;42,5;;4037,3;ND;CONVESSA;38 mm CLIENTE
C300356_09;4010;75;ACQUA PIATTA;315,5;146,8;COLLO 38 mm SECONDO DIS. CLIENTE;0;PETALOIDE;ml;NON DEFINITA;TONDA;Nong Fu New Spring Water- 4L Round Mineral Water;;30;42,5;;4037,3;ND;CONVESSA;38 mm CLIENTE
C300356_08;4010;75;ACQUA PIATTA;312;146,8;COLLO 38 mm SECONDO DIS. CLIENTE;0;PIATTO;ml;NON DEFINITA;TONDA;Nong Fu New Spring Water- 4L Round Mineral Water;;30;39;;4037,3;ND;CONVESSA;38 mm CLIENTE
C100271_01;1500;32;ACQUA PIATTA;300,8;90;COLLO PCO SECONDO DIS. CLIENTE;;PIATTO;ml;NON DEFINITA;TONDA;MEGA EMPACK-GEERICA 1500ml TLACOTE;;32,8;;;1519,8;ND;CONVESSA;PCO-CLIENTE
C100271_00;1500;32;ACQUA PIATTA;299,8;89;COLLO PCO SECONDO DIS. CLIENTE;;PIATTO;ml;NON DEFINITA;TONDA;MEGA EMPACK-GEERICA 1500ml TLACOTE;;36,3;;;1519,8;ND;CONVESSA;PCO-CLIENTE
C100270_00;500;15,5;ACQUA PIATTA;206,8;63,5;COLLO PCO SECONDO DIS. CLIENTE;;PIATTO;ml;NON DEFINITA;TONDA;MEGA EMPACK-GERICA 500ml TLACOTE;;29,3;;;514,2;ND;CONVESSA;PCO-CLIENTE
C100269_00;1500;32;ACQUA PIATTA;300,8;90;COLLO PCO SECONDO DIS. CLIENTE;;PIATTO;ml;NON DEFINITA;TONDA;MEGA EMPACK-BIOLEVE 1500ml;;32,8;;;1520,9;ND;CONVESSA;PCO-CLIENTE
C100268_00;600;15,5;ACQUA PIATTA;220,8;69,6;COLLO PCO SECONDO DIS. CLIENTE;;PIATTO;ml;NON DEFINITA;TONDA;MEGA EMPACK-BIOLEVE 600ml;;30;;;610,6;ND;CONVESSA;PCO-CLIENTE
C005622_01;1200;25,5;OLIO;302,9;80,3;COLLO GENERICO SECONDO DIS. CLIENTE;0;PIATTO;ml;OLIO;TONDA;SAVOLA EDIBILE OILS SUDAN Ltd;;35,3;;1;1244,1;OL;CONVESSA;DIS.CLIENTE
