App;specs;Volume;Neck;Peso;Spessore;Lunghezza;DiamMax;DiamMed;DiamSB;Pref.Draw;Shape;TON;pos;cav;tc
CSD;Premium;2250;PCO 1881;46,3;3,49;142,89;28,5;25,01;25,5;PN003576_00;Reverse;;3;96;15,6
CSD;Premium;2500;PCO 1881;50,6;3,98;142,89;28,5;24,52;25,5;PN003575_00;Reverse;;3;96;17
CSD;Premium;3000;PCO 1881;54,5;4,08;148,1;28,84;24,76;25,7;PN007956_00;Reverse;;3;96;17,5
Edible Oil;Standard;500;29 Oil;15,5;2,3;80;22,6;20,3;24;PN002959_00;Bell Shape;;3;96;8,3
Edible Oil;Standard;1000;29 Oil;20;2,46;98;23;20,54;24;PN001075_02;Bell Shape;;3;96;9,3
Edible Oil;Standard;1500;29 Oil;29;3,24;115,2;24;20,76;24;PN000102_00;Straight;;3;96;11,8
Edible Oil;Standard;2000;29 Oil;37;3,61;120;26,6;22,99;24;PN000297_01;Reverse;;3;96;14,3
CMW;Standard;330;26 OB;10,4;1,85;78;18,5;16,65;24,25;PN004571_01;Bell Shape;;3;96;6,5
CMW;Standard;500;26 OB;10,4;1,85;78;18,5;16,65;24,25;PN004571_02;Bell Shape;;3;96;6,5
CMW;Standard;750;PCO 1881;20,85;2,65;98;22,62;19,97;25,5;PN008395_00;Bell Shape;;3;96;9,3
CMW;Standard;1000;PCO 1881;27;2,98;110;24,5;21,52;25,5;PN005636_00;Bell Shape;;3;96;11,5
CMW;Standard;1250;PCO 1881;30;3;120;24,68;21,68;25,5;PN006020_00;Bell Shape;;3;96;11,8
CMW;Standard;1500;26 OB;30,5;3,09;119,2;25,35;22,26;24,25;PN004185_01;Reverse;;3;96;12,1
CMW;Standard;1750;PCO 1881;35;3,09;135,8;24,68;21,59;25,9;PN006984_00;Bell Shape;;3;96;12,5
CMW;Standard;2000;PCO 1881;38,8;3;138,3;27,54;24,54;25,5;PN006753_00;Reverse;;3;96;12,6
SMW;LW;250;29/25;7,4;1,72;58;16,47;14,75;28;PN008814_01;Bell Shape;;3;96;6,2
SMW;LW;500;29/25;9;1,7;76;15,6;13,9;27,8;PN009957_01;Bell Shape;;3;96;6,3
SMW;LW;1000;29/25;18;2,36;98;21,1;18,74;27,5;PN005419_00;Bell Shape;;3;96;8,4
SMW;LW;1500;29/25;20,5;2,18;112;24;21,82;27,8;PN006427_00;Bell Shape;;3;96;8,4
SMW;LW;2000;26 OB;27,4;2,75;118,1;26,3;23,55;24,25;PN006075_00;Straight;;3;96;10,9
SMW;LW;5000;29/25;55,3;3,22;134;38;34,78;36,6;PN005592_00;Reverse;;3;96;15,2
