pref_drw;neck_drw;preform_weight;neck_weight;body_weight;length;thickness;max_diam;DiametroSottobaga;base_thikness;PartingLine;DiametroPLine;neck_nominal_diam;DIAMETRO_BAGA;DIAMETRO_INTERNO;neck_height;NUMEROPRINCIPI;shape;cycle_time;TON;cavitation;DescrizioneCollo;HEATSET
PN004503_00;N000187_22;38,00;4,40;33,60;125,00;3,41;26,50;36,00;2,90;22,20;0,00;38,00;41,00;32,40;17,20;2;Bell;15,50;500;96;38mm 2 LEADS;n
PN006454_00;N000140_63;37,00;5,10;31,90;129,20;3,44;25,80;25,80;2,75;29,20;0,00;28,00;33,00;21,74;21,20;1;Straight;15,30;500;128;28mm PCO 1816;n
PN005386_00;N000051_86;36,46;3,80;32,66;120,00;3,74;25,92;25,50;3,00;40,00;0,00;28,00;33,00;21,74;17,00;1;Reverse;14,00;350;84;28mm PCO 1881;n
PN009711_00;N000264_34;36,00;3,80;32,20;123,50;3,76;25,00;25,50;2,63;22,00;25,47;28,00;33,00;21,74;17,00;1;Bell;14,90;250;48;28mm PCO 1881 ISBT-21;n
PN005873_02;N000187_96;36,00;4,40;31,60;108,00;3,70;28,00;36,00;2,81;22,27;0,00;38,00;43,00;33,42;16,50;3;Bell;14,90;350;96;38mm 3 LEADS - BC VENTED;n
PN005873_00;N000187_89;36,00;4,30;31,70;108,00;3,70;28,00;36,00;2,81;22,27;0,00;38,00;43,00;33,42;16,50;3;Bell;14,90;350;96;38mm 3 LEADS - BC VENTED;n
PN005656_00;N000051_86;36,00;3,80;32,20;119,50;3,62;26,40;25,70;2,72;34,00;0,00;28,00;33,00;21,74;17,00;1;Reverse;14,90;250;48;28mm PCO 1881;n
PN009947_00;N000264_49;35,90;3,10;32,80;136,10;3,05;26,00;25,50;2,59;34,00;25,97;28,00;32,00;21,74;17,00;1;Reverse;13,90;500;180;28mm PCO 1881 LIGHT;n
PN010536_02;N000140_59;35,30;3,80;31,50;134,00;2,89;27,00;25,50;2,37;42,00;26,97;28,00;33,00;21,74;17,00;1;Reverse;15,40;500;200;28mm PCO 1881;n
PN010536_01;N000264_56;35,30;3,80;31,50;134,00;2,89;27,00;25,50;2,37;42,00;26,97;28,00;33,00;21,74;17,00;1;Reverse;14,40;500;200;28mm PCO 1881;n
PN008759_00;N000034_21;35,00;3,84;31,16;110,00;3,91;25,00;35,00;2,74;18,00;33,57;38,00;41,00;31,60;12,25;1;Bell;14,90;250;72;38 mm NECK FINISH;n
PN008489_00;N000311_14;35,00;2,59;32,41;130,00;3,20;26,00;25,00;2,72;34,00;26,14;26,00;31,50;21,74;15,06;1;Reverse;12,90;350;96;26/22 mm;n
PN007962_00;N000264_35;35,00;3,80;31,20;116,50;3,72;25,83;26,00;2,85;36,70;0,00;28,00;33,00;21,74;17,00;1;Bell;13,80;500;144;28mm PCO 1881;n
PN006464_00;N000140_63;35,00;5,10;29,90;129,20;3,16;25,80;25,80;2,53;29,20;0,00;28,00;33,00;21,74;21,20;1;Straight;14,00;500;128;28mm PCO 1816;n
PN010073_01;N000264_34;34,50;3,80;30,70;122,00;3,80;23,98;25,50;3,04;43,00;23,97;28,00;33,00;21,74;17,00;1;Bell;16,90;160;60;28mm PCO 1881 ISBT-21;n
PN010405_00;N000036_85;34,00;4,40;29,60;123,00;2,60;29,50;36,00;2,21;23,00;34,56;38,00;43,00;33,40;16,50;3;Bell;14,00;160;48;38 mm BERICAP VER.85;n
PN010361_01;N000264_34;34,00;3,80;30,20;111,00;3,67;26,88;25,50;2,86;37,00;26,85;28,00;33,00;21,74;17,00;1;Reverse;14,90;500;96;28mm PCO 1881 ISBT-21;n
PN010350_00;N000264_34;34,00;3,80;30,20;115,00;3,65;26,00;25,50;2,56;39,00;25,99;28,00;33,00;21,74;17,00;1;Reverse;14,10;500;180;28mm PCO 1881 ISBT-21;n
PN006345_01;N000300_01;34,00;4,25;29,75;96,00;3,74;30,00;36,00;2,80;22,50;0,00;38,00;41,00;33,40;16,50;3;Bell;14,80;350;96;38mm 3 LEADS - BC VENTED;n
PN006345_00;N000187_98;34,00;4,16;29,84;96,00;3,74;30,00;36,00;2,81;22,50;0,00;38,00;41,00;33,42;16,50;3;Bell;14,80;350;96;38mm 3 LEADS - BC VENTED;n
PN010321_00;N000268_16;33,50;3,78;29,72;132,02;2,98;25,30;25,60;2,24;22,00;25,57;28,00;33,00;21,74;17,00;1;Bell;14,60;500;200;28mm PCO 1881 ISBT-21;n
PN007964_00;N000264_35;33,00;3,80;29,20;116,50;3,41;25,83;26,00;2,70;36,70;0,00;28,00;33,00;21,74;17,00;1;Bell;13,20;500;144;28mm PCO 1881;n
PN006349_01;N000300_01;33,00;4,25;28,75;96,00;3,58;30,00;36,00;2,68;22,50;0,00;38,00;41,00;33,40;16,50;3;Bell;14,30;350;96;38mm 3 LEADS - BC VENTED;n
PN006349_00;N000187_98;33,00;4,16;28,84;96,00;3,58;30,00;36,00;2,68;22,50;0,00;38,00;41,00;33,42;16,50;3;Bell;14,30;350;96;38mm 3 LEADS - BC VENTED;n
PN010559_01;N000140_59;32,00;3,80;28,20;115,00;3,64;24,36;25,50;2,73;23,50;25,38;28,00;33,00;21,74;17,00;1;Bell;15,20;500;128;28mm PCO 1881;n
PN010412_00;N000036_85;32,00;4,40;27,60;115,70;2,60;29,50;36,00;2,21;23,00;34,56;38,00;43,00;33,40;16,50;3;Bell;13,80;160;48;38 mm BERICAP VER.85;n
PN008760_00;N000034_21;32,00;3,84;28,16;110,00;3,22;25,00;35,00;2,25;18,00;33,57;38,00;41,00;31,60;12,25;1;Bell;13,00;250;72;38 mm NECK FINISH;n
PN008636_00;N000036_85;32,00;4,40;27,60;104,00;3,93;25,20;36,00;2,95;20,80;36,00;38,00;43,00;33,40;16,50;3;Bell;14,50;250;72;38 mm BERICAP VER.85;n
PN008541_00;N000311_14;32,00;2,59;29,41;118,00;2,67;25,50;25,50;2,27;21,00;25,50;26,00;31,50;21,74;15,06;1;Straight;13,00;500;144;26/22 mm;n
PN008480_00;N000311_14;32,00;2,59;29,41;115,00;3,63;24,80;25,00;3,09;21,00;24,95;26,00;31,50;21,74;15,06;1;Bell;13,20;350;96;26/22 mm;n
PN007344_02;N300140_16;32,00;4,60;27,40;98,50;4,03;28,24;24,80;3,32;34,01;0,00;28,00;32,00;20,35;17,00;1;Reverse;14,30;500;144;"28mm PCO ""1881MODIF"" FOR HEATSET";n
PN006350_01;N000300_01;32,00;4,25;27,75;96,00;3,41;30,00;36,00;2,56;22,50;0,00;38,00;41,00;33,40;16,50;3;Bell;13,80;350;96;38mm 3 LEADS - BC VENTED;n
PN006350_00;N000187_98;32,00;4,16;27,84;96,00;3,42;30,00;36,00;2,56;22,50;0,00;38,00;41,00;33,42;16,50;3;Bell;13,80;350;96;38mm 3 LEADS - BC VENTED;n
PN005872_01;N000187_89;32,00;4,30;27,70;108,00;3,11;28,00;36,00;2,43;22,27;0,00;38,00;43,00;33,42;16,50;3;Bell;11,10;350;96;38mm 3 LEADS - BC VENTED;n
PN010453_00;N000264_34;31,00;3,80;27,20;111,00;3,46;24,97;25,50;2,77;22,00;25,45;28,00;33,00;21,74;17,00;1;Bell;13,60;250;72;28mm PCO 1881 ISBT-21;n
PN006351_01;N000300_01;31,00;4,25;26,75;96,00;3,26;30,00;36,00;2,44;22,50;0,00;38,00;41,00;33,40;16,50;3;Bell;12,50;350;96;38mm 3 LEADS - BC VENTED;n
PN010258_00;N000264_34;30,70;3,80;26,90;122,00;3,09;24,46;25,50;2,47;43,00;43,00;28,00;33,00;21,74;17,00;1;Bell;15,20;160;60;28mm PCO 1881 ISBT-21;n
