commessa;model;matricola;region;country;branch;customer;yearmachine;yearstp;codmould;codbottle;LITRI
0R256;XTRA 6;2871;E3 - East Europe;GRECIA;SIPA BALKANS;ADELFOI GEORGIOU KOURTIDI A.E.;2020;2020;10068445/00;C008401_02;1,5
0L319;SFL 6/4 CIBLAB;2647;NA - North America;STATIUNITI;SIPA NORTH AMERICA;GOJO Industries, Inc.;2018;2020;10068361/00;C008461_00;1,2
0R257;XTRA 10;2872;IN - India;INDIA;SIPA INDIA;BRINDAVAN BOTTLERS PRIVATE LIMITED;2020;2020;10068444;C008357_01;0,75
0L443;SFL 4/4;2888;AF1 - North Africa, France, Belgium & Luxembourg;LIBIA;SIPA NORTH AFRICA;ALMONTIG ALAREEQ CO.;2021;2020;10068364/00;C008350_00;1
0L443;SFL 4/4;2888;AF1 - North Africa, France, Belgium & Luxembourg;LIBIA;SIPA NORTH AFRICA;ALMONTIG ALAREEQ CO.;2021;2020;10068368/00;C008348_00;0,5
0L460;SFL 6/6 XXL;2915;FE1 - China;CHINA;SIPA CHINA;YIHAI KERRY (MAOMING) FOODSTUFFS INDUSTRIES CO.LTD;2022;2020;10116636_00;C301247_03;5
0L460;SFL 6/6 XXL;2915;FE1 - China;CHINA;SIPA CHINA;YIHAI KERRY (MAOMING) FOODSTUFFS INDUSTRIES CO.LTD;2022;2020;10068366;C301244_05;5
0L488;SFL 4/4;2049;AF3 - South Africa;SUDAFRICA;SIPA SOUTH AFRICA;NIORO PLASTICS PTY LTD;2020;2020;10068344;C008444_00;1,5
0R230;XTRA 12;2745;E1 - West Europe;SPAGNA;SIPA WEST EUROPE;AGUAS DEL MARQUESADO S.L.;2020;2019;10068312/00;C008458_01;0,5
0L488;SFL 4/4;2049;AF3 - South Africa;SUDAFRICA;SIPA SOUTH AFRICA;NIORO PLASTICS PTY LTD;2020;2019;10068255;C008441_02;2
0R086;SFR 20 EVO;2221;FE2 - Rest of Far East & Oceania;VIETNAM;SIPA FAR EAST;URC VIETNAM CO., LTD;2015;2019;10116612_00;C301246_04;0,455
0L488;SFL 4/4 MIDDLE SHELL;2049;AF3 - South Africa;SUDAFRICA;SIPA SOUTH AFRICA;NIORO PLASTICS PTY LTD;2020;2019;10068199;C008447_02;1,5
0L488;SFL 4/4 MIDDLE SHELL;2049;AF3 - South Africa;SUDAFRICA;SIPA SOUTH AFRICA;NIORO PLASTICS PTY LTD;2020;2019;10068190/00;C008453_01;1,5
0R256;XTRA 6;2871;E3 - East Europe;GRECIA;SIPA BALKANS;ADELFOI GEORGIOU KOURTIDI A.E.;2020;2019;10068198/00;C008438_01;0,28
0L358;SFL 6/6;2733;E2 - North Europe;NORVEGIA;SIPA POLAND;RORA FABRIKKER AS COOP NORGE SA;2018;2019;10068178;C008457_00;1
0R257;SIPA XTRA 10;2872;IN - India;INDIA;SIPA INDIA;BRINDAVAN BOTTLERS PRIVATE LIMITED;2020;2019;10116559_02;C301260_02;0,75
